学生ID,学部,性別,身長cm,一人暮らし,通学時間min,睡眠時間h,SNS時間h,勉強時間h,アルバイト時間week,出席率,朝食日数week,テスト点,世帯年収万円
26B0112,経済学部,女,153.3,はい,19.0,5.1,4.8,0.4,20,69,1,71,405
26B0113,社会福祉学部,女,151.3,いいえ,57.0,6.9,2.7,1.2,3,82,5,63,685
26B0114,経済学部,女,155.9,はい,12.0,5.8,4.6,1.5,19,83,4,44,1182
26B0115,文学部,女,154.6,いいえ,96.0,7.3,3.6,1.3,9,79,5,63,525
26B0116,経済学部,女,156.0,いいえ,58.0,7.9,0.7,2.6,9,93,7,66,439
26B0117,経済学部,女,151.4,いいえ,65.0,5.2,4.6,1.0,13,66,1,39,638
26B0118,文学部,女,164.5,いいえ,96.0,6.9,2.1,2.1,6,73,4,66,245
26B0119,文学部,女,156.3,いいえ,60.0,8.0,1.7,2.5,18,84,3,75,380
26B0120,経済学部,男,173.6,はい,22.0,8.2,3.2,1.4,9,85,5,58,584
26B0121,文学部,女,148.2,いいえ,79.0,7.5,2.5,3.0,4,90,6,74,204
26B0122,社会福祉学部,女,154.4,はい,12.0,7.4,3.5,2.1,25,78,4,51,965
26B0123,経済学部,男,180.5,いいえ,33.0,6.9,2.7,1.2,7,76,3,63,706
26B0124,経済学部,男,165.7,いいえ,119.0,6.8,2.2,1.7,9,89,7,53,975
26B0125,社会福祉学部,男,172.7,はい,16.0,7.6,1.2,2.2,15,88,5,69,447
26B0126,文学部,男,183.5,はい,34.0,7.8,2.6,3.7,13,88,5,72,533
26B0127,経済学部,女,157.9,はい,14.0,6.8,2.5,1.3,14,76,3,38,838
26B0128,経済学部,男,180.0,はい,21.0,8.1,1.6,3.5,17,97,7,73,1266
26B0129,社会福祉学部,男,165.6,はい,23.0,6.9,3.9,1.2,23,74,4,71,828
26B0130,文学部,男,168.1,いいえ,47.0,6.7,3.6,0.7,11,82,1,63,695
26B0131,文学部,女,157.6,はい,23.0,6.1,5.1,1.0,23,63,2,59,1197
26B0132,経済学部,女,154.7,いいえ,99.0,6.1,3.1,1.1,6,73,2,71,824
26B0133,社会福祉学部,男,173.0,はい,34.0,6.0,2.6,1.5,19,93,7,33,217
26B0134,経済学部,女,147.3,いいえ,56.0,8.1,5.0,1.7,4,70,1,70,638
26B0135,経済学部,男,164.6,いいえ,91.0,7.1,1.5,1.0,23,73,4,57,589
26B0136,社会福祉学部,男,178.8,いいえ,29.0,8.5,0.8,3.1,1,96,7,67,741
26B0137,社会福祉学部,女,158.7,いいえ,24.0,8.9,2.4,1.9,7,93,5,62,735
26B0138,経済学部,男,173.9,はい,15.0,8.8,1.4,2.3,24,95,6,54,491
26B0139,文学部,女,168.0,いいえ,52.0,6.8,4.2,0.9,19,74,4,51,591
26B0140,経済学部,男,160.5,はい,15.0,6.4,6.1,0.6,19,64,0,54,357
26B0141,社会福祉学部,男,153.0,はい,14.0,9.2,1.8,2.4,21,99,5,61,763
26B0142,経済学部,男,181.6,はい,23.0,6.6,4.5,1.0,30,66,1,49,557
26B0143,経済学部,女,149.7,はい,14.0,6.1,3.3,0.9,13,84,4,52,529
26B0144,文学部,女,158.4,いいえ,14.0,6.0,3.8,2.0,21,96,4,53,1010
26B0145,社会福祉学部,女,148.2,いいえ,22.0,7.7,4.5,1.6,7,76,1,69,712
26B0146,文学部,男,155.6,いいえ,74.0,7.4,3.2,3.0,13,97,7,59,785
26B0147,文学部,男,170.4,はい,28.0,8.3,2.8,2.7,29,90,6,75,528
26B0148,経済学部,女,160.7,いいえ,59.0,7.1,1.9,0.9,5,83,4,67,455
26B0149,経済学部,女,152.9,いいえ,71.0,7.2,3.3,1.1,10,82,2,53,587
26B0150,社会福祉学部,男,155.6,いいえ,66.0,6.3,3.8,1.8,13,83,4,57,630
26B0151,経済学部,女,159.7,いいえ,66.0,6.7,4.0,1.1,3,70,2,63,578
26B0152,社会福祉学部,男,182.2,いいえ,105.0,4.7,0.4,0.9,12,85,4,28,610
26B0153,社会福祉学部,男,160.5,いいえ,72.0,6.6,4.8,2.2,9,79,3,46,698
26B0154,文学部,男,175.4,いいえ,5.0,5.7,4.1,0.0,5,80,3,36,914
26B0155,経済学部,女,159.5,はい,28.0,7.5,2.6,2.2,15,88,5,61,344
26B0156,社会福祉学部,男,159.7,いいえ,80.0,6.2,4.4,1.4,6,79,2,48,370
26B0157,社会福祉学部,女,163.9,いいえ,68.0,6.5,2.5,2.3,0,78,3,62,150
26B0158,文学部,女,158.9,いいえ,39.0,6.0,4.8,1.0,14,62,0,51,581
26B0159,経済学部,男,170.0,はい,13.0,6.0,2.2,0.9,17,91,5,43,318
26B0160,文学部,男,178.5,いいえ,56.0,6.4,1.6,1.8,11,81,6,61,232
26B0161,社会福祉学部,女,158.0,いいえ,73.0,7.0,2.6,2.6,4,85,7,79,512
26B0162,経済学部,男,178.5,はい,17.0,8.9,1.0,4.2,10,100,7,85,357
26B0163,経済学部,男,186.6,いいえ,7.0,7.8,3.3,1.1,11,94,5,45,860
26B0164,文学部,男,172.2,いいえ,64.0,5.0,4.0,1.1,14,78,2,44,972
26B0165,社会福祉学部,男,173.5,いいえ,88.0,9.1,0.7,3.4,6,100,7,81,735
26B0166,経済学部,男,167.5,いいえ,75.0,6.3,4.3,0.8,4,84,3,67,456
26B0167,文学部,男,180.1,はい,15.0,8.8,3.4,1.4,27,88,5,70,293
26B0168,文学部,女,150.6,いいえ,37.0,7.9,3.4,2.6,14,81,6,73,366
26B0169,文学部,女,154.9,いいえ,23.0,7.5,3.5,0.0,14,70,1,55,355
26B0170,経済学部,女,157.6,はい,22.0,8.2,2.0,2.9,23,85,6,72,458
26B0171,社会福祉学部,女,156.9,いいえ,94.0,6.5,2.4,1.1,12,84,4,43,475
26B0172,経済学部,女,153.7,はい,27.0,7.1,4.7,1.4,21,86,4,59,1206
26B0173,社会福祉学部,女,163.3,はい,29.0,7.4,4.5,1.3,29,79,2,51,799
26B0174,経済学部,女,156.1,はい,7.0,7.5,3.2,2.6,30,92,5,72,1283
26B0175,文学部,女,145.1,いいえ,66.0,4.9,2.7,0.2,4,77,2,60,611
26B0176,経済学部,男,178.0,いいえ,88.0,5.8,4.8,0.0,11,78,0,40,370
26B0177,経済学部,女,168.4,いいえ,116.0,7.5,3.3,2.6,4,94,5,64,412
26B0178,社会福祉学部,女,154.7,はい,19.0,7.2,2.1,1.3,24,75,3,63,542
26B0179,経済学部,男,179.1,はい,25.0,7.6,2.9,0.7,22,80,5,55,655
26B0180,文学部,女,154.8,はい,24.0,9.6,0.0,3.9,18,93,6,76,923
26B0181,文学部,女,152.0,いいえ,75.0,6.2,5.1,3.0,12,90,6,52,423
26B0182,経済学部,女,152.5,はい,15.0,8.8,2.7,1.0,21,79,5,62,462
26B0183,文学部,男,180.8,はい,15.0,8.2,1.7,2.7,18,95,6,60,598
26B0184,社会福祉学部,女,166.2,いいえ,67.0,6.5,4.5,0.0,23,71,1,39,999
26B0185,文学部,女,162.2,いいえ,90.0,6.0,2.0,2.8,13,90,4,49,451
26B0186,社会福祉学部,女,151.9,いいえ,54.0,7.5,2.8,3.3,11,94,6,60,693
26B0187,経済学部,男,175.8,はい,11.0,8.0,2.0,3.1,19,91,7,65,335
26B0188,文学部,男,164.5,はい,24.0,6.9,4.3,0.2,23,82,3,34,661
26B0189,経済学部,女,161.8,いいえ,81.0,4.5,5.4,0.0,5,56,0,47,684
26B0190,経済学部,男,167.7,はい,18.0,6.9,2.7,1.0,17,94,5,43,713
26B0191,文学部,男,167.6,はい,24.0,6.5,1.9,0.8,16,87,6,60,996
26B0192,経済学部,男,167.9,いいえ,75.0,7.1,3.5,2.7,12,73,4,74,536
26B0193,社会福祉学部,男,158.6,はい,24.0,7.9,2.3,2.4,23,91,5,64,741
26B0194,文学部,男,160.5,はい,16.0,8.0,1.6,1.4,20,79,4,51,368
26B0195,経済学部,女,157.1,はい,15.0,6.6,4.7,1.5,19,88,5,52,323
26B0196,文学部,男,164.6,はい,24.0,7.4,4.0,0.0,15,76,4,42,537
26B0197,経済学部,男,175.9,はい,22.0,8.3,4.2,0.3,23,85,3,53,490
26B0198,文学部,女,165.0,いいえ,70.0,7.1,3.7,2.3,15,86,5,59,1183
26B0199,社会福祉学部,女,148.6,いいえ,62.0,7.8,2.0,1.3,14,82,5,58,753
26B0200,社会福祉学部,女,149.0,いいえ,89.0,5.7,1.8,1.7,10,82,4,82,1034
26B0201,経済学部,女,157.0,はい,25.0,9.0,2.2,1.7,21,86,4,74,656
26B0202,経済学部,女,169.7,いいえ,53.0,7.6,3.8,1.8,6,88,5,59,802
26B0203,文学部,女,153.3,いいえ,60.0,7.9,2.0,1.6,15,85,2,55,485
26B0204,経済学部,女,161.0,はい,13.0,7.4,5.5,1.0,13,89,2,45,745
26B0205,社会福祉学部,女,148.0,いいえ,78.0,5.6,3.1,1.4,9,87,5,45,435
26B0206,文学部,女,152.5,いいえ,29.0,7.9,2.7,2.5,9,81,5,69,440
26B0207,文学部,女,160.8,はい,6.0,6.9,3.9,0.9,20,76,2,51,191
26B0208,社会福祉学部,男,169.5,いいえ,9.0,8.2,1.8,2.3,11,88,5,72,653
26B0209,社会福祉学部,男,173.9,いいえ,55.0,6.5,2.5,1.6,14,89,5,66,825
26B0210,文学部,男,171.6,はい,25.0,4.7,2.4,1.6,16,77,3,56,744
26B0211,文学部,回答しない,164.8,いいえ,37.0,6.7,3.3,1.2,0,85,2,40,620
26B0212,経済学部,男,170.7,いいえ,15.0,7.0,2.5,0.6,29,83,5,55,451
26B0213,社会福祉学部,男,179.1,はい,25.0,8.0,3.8,2.1,20,93,4,66,193
26B0214,社会福祉学部,男,170.5,いいえ,16.0,5.9,4.1,1.6,22,79,2,72,325
26B0215,経済学部,女,163.0,はい,24.0,6.8,3.0,1.5,9,80,4,56,519
26B0216,経済学部,男,169.3,いいえ,45.0,6.7,2.8,1.2,1,86,4,47,754
26B0217,社会福祉学部,女,158.4,はい,5.0,6.2,2.8,1.9,27,84,3,75,948
26B0218,文学部,女,151.4,はい,15.0,7.2,2.6,1.8,16,79,3,54,918
26B0219,経済学部,女,145.2,はい,23.0,6.0,4.1,0.0,3,75,1,41,409
26B0220,経済学部,男,168.3,はい,9.0,6.2,5.2,1.1,25,69,1,56,501
26B0221,文学部,女,158.4,いいえ,44.0,5.6,4.8,0.7,3,66,1,53,309
26B0222,文学部,男,167.9,いいえ,46.0,6.4,2.9,0.0,11,80,4,48,240
26B0223,経済学部,女,161.0,はい,21.0,8.0,2.7,1.4,27,69,5,54,375
26B0224,文学部,女,153.0,いいえ,55.0,6.4,3.2,0.3,9,75,5,49,385
26B0225,社会福祉学部,男,162.4,いいえ,85.0,6.4,3.8,1.5,7,84,2,38,367
26B0226,社会福祉学部,女,148.9,はい,21.0,7.0,4.2,0.4,21,84,5,38,787
26B0227,文学部,男,174.7,いいえ,73.0,7.1,3.2,1.3,10,84,3,53,1073
26B0228,社会福祉学部,女,152.8,いいえ,64.0,6.5,3.0,2.3,12,82,2,60,383
26B0229,文学部,男,170.8,いいえ,60.0,6.6,4.4,0.4,13,68,2,54,1177
26B0230,社会福祉学部,女,149.2,いいえ,57.0,7.3,2.4,1.0,6,79,5,57,256
26B0231,経済学部,女,152.5,はい,14.0,7.6,3.0,0.4,27,83,4,63,666
26B0232,経済学部,女,157.5,はい,8.0,8.1,3.3,1.9,11,92,6,69,716
26B0233,経済学部,男,177.1,いいえ,30.0,6.7,1.2,3.5,6,95,6,70,293
26B0234,文学部,女,151.2,いいえ,78.0,7.4,2.0,2.6,20,88,6,54,859
26B0235,経済学部,男,161.9,いいえ,38.0,7.5,1.3,2.0,0,92,7,77,464
26B0236,社会福祉学部,女,157.5,いいえ,70.0,6.8,4.9,0.3,11,87,1,39,620
26B0237,経済学部,女,158.5,いいえ,25.0,8.4,2.7,1.7,7,85,3,65,919
26B0238,社会福祉学部,女,155.0,いいえ,47.0,7.0,1.0,2.6,12,87,4,65,746
26B0239,経済学部,男,177.9,はい,19.0,7.9,1.6,1.7,20,91,5,70,449
26B0240,経済学部,女,147.2,いいえ,72.0,8.2,1.9,3.2,14,97,5,71,537
26B0241,経済学部,男,165.6,いいえ,104.0,7.7,0.9,3.2,6,100,7,61,1205
26B0242,経済学部,男,170.5,いいえ,23.0,8.6,1.8,1.2,4,100,7,70,253
26B0243,経済学部,男,165.3,いいえ,62.0,6.8,1.2,1.1,13,88,6,48,843
26B0244,経済学部,女,159.5,いいえ,34.0,5.9,4.2,1.5,18,90,4,54,848
26B0245,社会福祉学部,女,157.5,いいえ,73.0,5.5,3.5,0.8,14,73,3,44,1288
26B0246,文学部,女,156.0,はい,26.0,8.2,3.1,1.8,15,75,6,51,1007
26B0247,文学部,男,185.0,いいえ,41.0,6.3,3.4,1.5,6,84,5,58,276
26B0248,経済学部,女,151.6,いいえ,80.0,5.5,3.2,0.0,5,76,1,44,722
26B0249,経済学部,女,155.9,いいえ,52.0,7.7,1.9,1.0,8,75,4,56,650
26B0250,文学部,女,160.5,はい,16.0,7.5,2.2,1.9,12,78,6,52,808
26B0251,経済学部,女,153.0,いいえ,45.0,7.3,2.6,2.6,8,85,6,65,1257
26B0252,経済学部,男,171.3,はい,15.0,6.3,3.8,1.5,12,73,4,40,647
26B0253,経済学部,男,175.6,はい,9.0,7.2,1.3,1.6,14,80,3,61,505
26B0254,社会福祉学部,女,158.8,いいえ,53.0,6.0,4.4,1.9,7,79,5,56,502
26B0255,社会福祉学部,男,175.0,いいえ,51.0,7.1,3.1,1.4,6,92,3,65,901
26B0256,経済学部,女,155.3,いいえ,39.0,6.5,3.6,1.4,2,80,4,44,344
26B0257,経済学部,男,168.9,いいえ,72.0,7.2,0.4,1.2,13,87,5,50,745
26B0258,経済学部,男,182.1,はい,5.0,8.4,0.2,3.4,23,97,7,89,651
26B0259,経済学部,女,160.4,はい,20.0,7.9,3.5,1.7,22,95,5,46,245
26B0260,経済学部,女,163.3,いいえ,29.0,4.8,4.2,1.4,8,76,2,67,690
26B0261,社会福祉学部,女,153.6,いいえ,65.0,6.0,3.0,1.4,11,76,4,57,335
26B0262,経済学部,女,156.2,いいえ,69.0,6.5,4.1,0.5,17,71,2,53,1356
26B0263,社会福祉学部,女,164.5,いいえ,83.0,5.7,4.0,0.0,5,72,1,55,363
26B0264,経済学部,男,171.1,はい,13.0,8.1,2.1,2.9,14,88,4,74,858
26B0265,文学部,女,150.1,いいえ,63.0,8.2,3.8,2.1,11,88,3,59,493
26B0266,社会福祉学部,男,165.1,はい,26.0,7.9,4.4,1.9,24,75,2,64,344
26B0267,経済学部,女,157.1,はい,27.0,6.8,5.3,0.0,12,59,0,28,673
26B0268,社会福祉学部,男,180.0,いいえ,75.0,6.2,3.8,1.4,12,79,2,67,305
26B0269,社会福祉学部,男,173.8,いいえ,50.0,7.9,3.3,2.1,8,78,5,58,503
26B0270,文学部,女,153.0,いいえ,24.0,6.6,4.5,2.2,11,80,2,64,1044
26B0271,経済学部,男,170.5,いいえ,104.0,7.1,3.3,2.7,15,88,4,83,473
26B0272,経済学部,女,158.0,いいえ,51.0,7.5,3.1,2.4,20,86,7,56,1500
26B0273,文学部,男,160.5,いいえ,78.0,6.2,1.9,1.9,17,79,4,61,892
26B0274,経済学部,女,157.4,いいえ,6.0,6.8,0.7,0.3,18,80,6,53,278
26B0275,社会福祉学部,女,155.5,いいえ,59.0,7.1,3.9,1.2,15,78,3,56,1491
26B0276,社会福祉学部,男,169.7,いいえ,75.0,5.3,3.3,0.2,11,74,1,34,1191
26B0277,文学部,男,165.2,はい,24.0,5.4,0.0,2.1,22,74,2,69,228
26B0278,文学部,女,159.8,いいえ,62.0,8.1,3.0,2.1,9,93,6,69,483
26B0279,文学部,女,155.1,いいえ,88.0,6.5,5.0,1.5,7,78,1,59,1267
26B0280,経済学部,女,153.0,はい,18.0,8.3,2.4,2.8,14,91,7,77,532
26B0281,経済学部,女,168.7,はい,25.0,7.7,2.0,3.2,24,90,6,66,561
26B0282,文学部,女,155.4,はい,25.0,7.4,1.5,2.1,18,76,4,65,367
26B0283,文学部,女,149.4,いいえ,39.0,6.7,3.9,1.8,13,71,5,54,563
26B0284,文学部,女,164.9,いいえ,39.0,5.8,6.7,0.9,12,69,3,50,699
26B0285,文学部,女,166.1,はい,22.0,7.3,3.7,3.2,18,97,7,63,1312
26B0286,経済学部,女,151.8,いいえ,35.0,8.9,2.3,2.0,12,90,6,66,408
26B0287,社会福祉学部,男,168.0,はい,8.0,6.4,3.0,2.2,17,88,2,74,591
26B0288,経済学部,男,169.5,はい,26.0,8.3,3.8,2.4,35,82,3,51,1201
26B0289,経済学部,男,168.2,いいえ,21.0,6.3,1.5,2.8,15,86,5,83,718
26B0290,経済学部,男,162.3,いいえ,40.0,5.9,3.0,0.7,18,74,3,60,314
26B0291,文学部,女,151.1,いいえ,58.0,8.0,3.5,2.3,12,83,4,59,814
26B0292,社会福祉学部,男,183.4,いいえ,85.0,6.7,4.1,0.0,8,78,2,35,666
26B0293,文学部,男,166.9,いいえ,86.0,7.3,2.1,0.1,16,81,5,38,258
26B0294,文学部,男,167.4,いいえ,54.0,5.8,3.5,0.3,7,77,3,44,1055
26B0295,社会福祉学部,女,162.2,いいえ,58.0,8.1,1.1,2.4,4,89,5,70,300
